Zeiten gesamt;Vorbereitungsszeit;Inferenzzeit;Verarbeitungszeit;Groesse;Name;Modell
6.523086;0.611140;5.818542;0.017450;176606; image27;Faster-R-CNN ResNet101 V1
6.760452;0.579374;6.140983;0.007375;90089; image28;Faster-R-CNN ResNet101 V1
7.047957;0.647652;6.340656;0.010963;150503; image29;Faster-R-CNN ResNet101 V1
7.627455;0.631954;6.925562;0.012962;87159; image30;Faster-R-CNN ResNet101 V1
6.125106;0.045356;6.068459;0.001859;14053; image31;Faster-R-CNN ResNet101 V1
5.907306;0.040464;5.850584;0.002239;10151; image32;Faster-R-CNN ResNet101 V1
6.703011;0.666522;5.973117;0.011932;120622; image33;Faster-R-CNN ResNet101 V1
9.835677;0.228434;9.562353;0.008416;34572; image34;Faster-R-CNN ResNet101 V1
8.235867;0.398508;7.819964;0.002942;21610; image35;Faster-R-CNN ResNet101 V1
6.439685;0.148658;6.272149;0.002961;21125; image36;Faster-R-CNN ResNet101 V1
6.891905;0.389669;6.472720;0.004745;54175; image37;Faster-R-CNN ResNet101 V1
7.279361;0.726292;6.494595;0.010787;82218; image38;Faster-R-CNN ResNet101 V1
6.782156;0.403415;6.328570;0.009206;35768; image39;Faster-R-CNN ResNet101 V1
6.819685;0.498113;6.263496;0.007776;39957; image40;Faster-R-CNN ResNet101 V1
6.753304;0.614614;6.074568;0.011879;64533; image41;Faster-R-CNN ResNet101 V1
7.168316;0.616224;6.488133;0.011453;108233; image42;Faster-R-CNN ResNet101 V1
7.277626;0.668879;6.509008;0.018521;140182; image43;Faster-R-CNN ResNet101 V1
9.466799;0.056160;9.380274;0.004793;16522; image44;Faster-R-CNN ResNet101 V1
13.066364;1.700199;11.261636;0.018468;171547; image45;Faster-R-CNN ResNet101 V1
10.505386;1.424963;8.995524;0.015565;119855; image46;Faster-R-CNN ResNet101 V1
10.726648;0.614182;10.087340;0.004347;40434; image47;Faster-R-CNN ResNet101 V1
7.791709;0.642314;6.734632;0.077967;34472; image48;Faster-R-CNN ResNet101 V1
7.470639;0.735926;6.325630;0.077189;59974; image49;Faster-R-CNN ResNet101 V1
